id;reg_num;expiration;mark;type;manufacturer;owner;group_name;how_to_use;atx_code;name;condition
1;DV/X 05918/03/19;07.08.2029;СУПРАСТИН®;Таблетки;Egis Pharmaceuticals PLC Венгрия;Egis Pharmaceuticals PLC Венгрия;Антигистаминные препараты системного действия. Этилендиамины замещенные. Хлоропирамин;Внутрь;R06AC03;Хлоропирамин;Без рецепта
2;DV/M 02485/03/19;19.04.2030;ДИАЗОЛИН;Таблетки;ООО Merrymed Farm Узбекистан;ООО Merrymed Farm1 Узбекистан;Антигистаминные средства системного действия. Другие антигистаминные средства системного действия. Мебгидролин;Внутрь;R06AX15;Мебгидролин;Без рецепта
3;DV/X 00913/10/15;29.12.2025;АЛЛЕРГОЗАН®;Таблетки, покрытые оболочкой;АО Софарма Болгария;АО Софарма Болгария;Антигистаминные препараты для системного применения;Внутрь;R06AC03;Хлоропирамин;Без рецепта
4;DV/M 03083/04/20;Бессрочно;МЕР ЛОРАТАД;Таблетки;ООО Merrymed Farm1 Узбекистан;ООО Merrymed Farm Узбекистан;Дыхательная система. Антигистаминные средства системного действия. Другие антигистаминные средства системного действия. Лоратадин.;Внутрь;R06AX13;Лоратадин;Без рецепта
5;DV/X 06593/07/19;31.01.2030;ДЕЗРАДИН®;Таблетки покрытые пленочной оболочкой;KRKA, d.d., Novo mesto Словения;KRKA, d.d., Novo mesto Словения;Антигистаминные средства для системного применения;Внутрь;R06AX27;Дезлоратадин;Без рецепта
6;DV/X 06177/05/19;19.05.2030;ЛОРАНЕКС;Таблетки покрытые оболочкой;GM Pharmaceuticals LTD Грузия;GM Pharmaceuticals LTD Грузия;Дыхательная система. Антигистаминные средства системного действия. Другие антигистаминные средства системного действия;Внутрь;R06AX27;Дезлоратадин;Без рецепта
7;DV/X 07446/01/20;25.07.2030;СУПРАСТИНЕКС;Таблетки покрытые оболочкой;Egis Pharmaceuticals PLC Венгрия;Egis Pharmaceuticals PLC Венгрия;Антигистаминные препараты системного применения, производные пиперазина;Внутрь;R06AE09;Левоцетиризин;Без рецепта
8;DV/X 05829/02/19;27.08.2029;Эдем®;Таблетки покрытые оболочкой;АО Фармак Украина;АО Фармак Украина;Антигистаминные средства для системного применения;Внутрь;R06AX27;Дезлоратадин;Без рецепта
9;DV/X 06251/05/19;30.09.2029;ЭРГОФЕРОН;Таблетки для рассасывания гомеопатические;"ООО ""НПФ ""Материа Медика Холдинг"" Российская Федерация";"ООО ""НПФ ""Материа Медика Холдинг"" Российская Федерация";Противовирусное средство, антигистаминное средство;Внутрь;J05AX;Другие противовирусные препараты;Без рецепта
10;DV/X 07008/11/19;01.07.2030;ЛОРДЕС;Сироп;АО Нобел Алматинская Фармацевтическая Фабрика Казахстан;АО Нобел Алматинская Фармацевтическая Фабрика Казахстан;Антигистаминные средства системного действия. Другие антигистаминные средства системного действия;Внутрь;R06AX27;Дезлоратадин;Без рецепта
11;DV/X 08539/02/21;02.02.2026;Алерголик;Таблетки покрытые оболочкой;ЧАО Технолог Украина;ЧАО Технолог Украина;Антигистаминные средства для системного применения;Внутрь;R06AE09;Левоцетиризин;Без рецепта
12;DV/X 08785/04/21;09.04.2026;АЛЛЕРГАСТИН;Таблетки диспергируемые в полости рта;S.A. LABORATORIOS NORMON Испания;LLP Vegapharm Великобритания;Антигистаминные средства для системного применения;Внутрь;R06AX22;Эбастин;Без рецепта
13;DV/X 08844/04/21;09.04.2026;ЛАМБРОТИН;Таблетки;LTD Lark Laboratories (India) Индия;Belinda Laboratories Pvt. Ltd. Индия;Муколитическое и антигистаминное лекарственное средство;Внутрь;R05CA10;Отхаркивающие препараты в комбинации;Без рецепта
14;DV/X 09133/07/21;16.07.2026;КЛАРИТИН®;Таблетки;GmbH Bayer Bitterfeld Германия;AG Bayer Consumer Care Швейцария;Антигистаминные средства для системного применения;Внутрь;R06AX13;Лоратадин;Без рецепта
