condition;id;name;reg_num;owner;manufacturer;expiration;base_market_price;pack_id;base_man_price;group_name;atx_code;pack_name;currency;base_opt_price;type;mark;how_to_use
По рецепту;;тиоколхикозид;DV/M 02356/11/18;;ИП ООО Nobel Pharmsanoat Узбекистан;;79 907,52  ;73274;57 904,00  ;;;НОБЕЛАКС® Таблетки 4 мг упаковки контурные ячейковые №20(2x10);Узбекский сум;66 589,60  ;;НОБЕЛАКС®;
По рецепту;;тиоколхикозид;DV/M 02356/11/18;;ИП ООО Nobel Pharmsanoat Узбекистан;;79 907,52  ;73275;57 904,00  ;;;НОБЕЛАКС® Таблетки 8 мг упаковки контурные ячейковые №10(1x10);Узбекский сум;66 589,60  ;;НОБЕЛАКС®;
По рецепту;;амброксол;DV/M 03163/05/20;;СП ООО Reka Med Farm Узбекистан;;27 820,80  ;34230;20 160,00  ;;;АМБРОКСОЛ Раствор для инъекций 7.5 мг/мл 2мл ампулы №20;Узбекский сум;23 184,00  ;;АМБРОКСОЛ;
По рецепту;;окситоцин;DV/M 03085/04/20;;ООО Merrymed Farm Узбекистан;;12 420,00  ;8871;9 000,00  ;;;МЕР ОКСИТОЦИН Раствор для инъекций 5 МЕ/мл 1мл ампулы №10(1x10);Узбекский сум;10 350,00  ;;МЕР ОКСИТОЦИН;
По рецепту;;Спирт этиловый 96%;DV/M 01761/08/17;;ООО Radiks Узбекистан;;6 182,40  ;40268;4 480,00  ;;;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70% Раствор 50мл флаконы;Узбекский сум;5 152,00  ;;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70%;
По рецепту;;пирацетам + тиазотовая кислота;DV/M 02157/06/18;;ООО Merrymed Farm1 Узбекистан;;72 450,00  ;24748;52 500,00  ;;;МЕР ТИАКСИТАМ Раствор для инъекций 5мл ампулы №10(2x5);Узбекский сум;60 375,00  ;;МЕР ТИАКСИТАМ;
По рецепту;;эноксапарин натрия;DV/X 06973/11/19;;Shenzhen Techdow Pharmaceutical LTD Китай;;1 194 403,88  ;6734;37,54  ;;;ЭНОКСИМАКС Раствор для инъекций 60 мг/0,6 мл 0.6мл предварительно заполненные шприцы №10(1x10);Доллар США;599 171,32  ;;ЭНОКСИМАКС;
По рецепту;;циклофосфамид;DV/X 00515/06/15;;Getwell Pharmaceuticals LTD Индия;;37 123,85  ;1573;0,80  ;;;ЦИКЛОФОСФАН-GETWELL Порошок для приготовления раствора для инъекций 500 мг флаконы;Доллар США;12 809,24  ;;ЦИКЛОФОСФАН-GETWELL;
По рецепту;;аторвастатин;DV/X 00608/07/15;;Agio Pharmaceuticals LTD Индия;;116 966,24  ;62348;4,12  ;;;Аторвастатин Аджио 20 Таблетки, покрытые пленочной оболочкой 20мг блистеры №30(3x10);Доллар США;65 691,03  ;;Аторвастатин Аджио;
По рецепту;;транексамовая кислота;DV/X 05524/12/18;;Zee Laboratories LTD Индия;;105 035,52  ;4414;3,74  ;;;НЕКСИ Раствор для инъекций 100 мг/мл 5мл ампулы №5(5x1);Доллар США;59 754,17  ;;НЕКСИ;
По рецепту;;амоксициллин + клавулановая кислота;DV/X 06411/06/19;;LTD SmithKline Beecham Великобритания;;93 831,72  ;12942;3,74  ;;;АУГМЕНТИН Таблетки покрытые пленочной оболочкой 625 мг блистеры №14(2x7);Доллар США;59 704,30  ;;АУГМЕНТИН;
По рецепту;;флутиказон;DV/X 06388/06/19;;LTD Glaxo Operations Великобритания;;163 208,43  ;29531;6,46  ;;;Авамис Спрей назальный 27.5 мкг/доза 120доза флаконы В комплекте с дозирующим устройством 1;Доллар США;103 016,98  ;;Авамис;
