pack_id;mark;name;manufacturer;pack_name;reg_num;currency;base_man_price;base_opt_price;base_market_price;condition
73274;НОБЕЛАКС®;тиоколхикозид;ИП ООО Nobel Pharmsanoat Узбекистан;НОБЕЛАКС® Таблетки 4 мг упаковки контурные ячейковые №20(2x10);DV/M 02356/11/18;Узбекский сум;57 904,00  ;66 589,60  ;79 907,52  ;По рецепту
73275;НОБЕЛАКС®;тиоколхикозид;ИП ООО Nobel Pharmsanoat Узбекистан;НОБЕЛАКС® Таблетки 8 мг упаковки контурные ячейковые №10(1x10);DV/M 02356/11/18;Узбекский сум;57 904,00  ;66 589,60  ;79 907,52  ;По рецепту
34230;АМБРОКСОЛ;амброксол;СП ООО Reka Med Farm Узбекистан;АМБРОКСОЛ Раствор для инъекций 7.5 мг/мл 2мл ампулы №20;DV/M 03163/05/20;Узбекский сум;20 160,00  ;23 184,00  ;27 820,80  ;По рецепту
8871;МЕР ОКСИТОЦИН;окситоцин;ООО Merrymed Farm Узбекистан;МЕР ОКСИТОЦИН Раствор для инъекций 5 МЕ/мл 1мл ампулы №10(1x10);DV/M 03085/04/20;Узбекский сум;9 000,00  ;10 350,00  ;12 420,00  ;По рецепту
40268;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70%;Спирт этиловый 96%;ООО Radiks Узбекистан;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70% Раствор 50мл флаконы;DV/M 01761/08/17;Узбекский сум;4 480,00  ;5 152,00  ;6 182,40  ;По рецепту
24748;МЕР ТИАКСИТАМ;пирацетам + тиазотовая кислота;ООО Merrymed Farm1 Узбекистан;МЕР ТИАКСИТАМ Раствор для инъекций 5мл ампулы №10(2x5);DV/M 02157/06/18;Узбекский сум;52 500,00  ;60 375,00  ;72 450,00  ;По рецепту
6734;ЭНОКСИМАКС;эноксапарин натрия;Shenzhen Techdow Pharmaceutical LTD Китай;ЭНОКСИМАКС Раствор для инъекций 60 мг/0,6 мл 0.6мл предварительно заполненные шприцы №10(1x10);DV/X 06973/11/19;Доллар США;37,54  ;599 171,32  ;1 194 403,88  ;По рецепту
1573;ЦИКЛОФОСФАН-GETWELL;циклофосфамид;Getwell Pharmaceuticals LTD Индия;ЦИКЛОФОСФАН-GETWELL Порошок для приготовления раствора для инъекций 500 мг флаконы;DV/X 00515/06/15;Доллар США;0,80  ;12 809,24  ;37 123,85  ;По рецепту
62348;Аторвастатин Аджио;аторвастатин;Agio Pharmaceuticals LTD Индия;Аторвастатин Аджио 20 Таблетки, покрытые пленочной оболочкой 20мг блистеры №30(3x10);DV/X 00608/07/15;Доллар США;4,12  ;65 691,03  ;116 966,24  ;По рецепту
4414;НЕКСИ;транексамовая кислота;Zee Laboratories LTD Индия;НЕКСИ Раствор для инъекций 100 мг/мл 5мл ампулы №5(5x1);DV/X 05524/12/18;Доллар США;3,74  ;59 754,17  ;105 035,52  ;По рецепту
12942;АУГМЕНТИН;амоксициллин + клавулановая кислота;LTD SmithKline Beecham Великобритания;АУГМЕНТИН Таблетки покрытые пленочной оболочкой 625 мг блистеры №14(2x7);DV/X 06411/06/19;Доллар США;3,74  ;59 704,30  ;93 831,72  ;По рецепту
29531;Авамис;флутиказон;LTD Glaxo Operations Великобритания;Авамис Спрей назальный 27.5 мкг/доза 120доза флаконы В комплекте с дозирующим устройством 1;DV/X 06388/06/19;Доллар США;6,46  ;103 016,98  ;163 208,43  ;По рецепту
6735;ЭНОКСИМАКС;эноксапарин натрия;Shenzhen Techdow Pharmaceutical LTD Китай;ЭНОКСИМАКС Раствор для инъекций 80 мг/ 0,8 мл 0.8мл предварительно заполненные шприцы №10(10x1);DV/X 06973/11/19;Доллар США;44,80  ;714 882,21  ;1 378 466,12  ;По рецепту
31399;ФИКСИМ;цефиксим;Ultra Laboratories Pvt. Ltd. Индия;ФИКСИМ 200 Капсулы твердые желатиновые 200 мг блистеры №10(1x10);DV/X 07096/11/19;Доллар США;1,60  ;25 597,91  ;53 915,05  ;По рецепту
